,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
241,Malta,2022,2.98,533.995,13.705,930.91,4.77,0.0,23.245,78.67,60.79,84.03,2135.975,125.78
242,Malta,2023,2.37,496.89,45.605000000000004,,1.185,0.0,37.31,104.235,55.67,92.98,2200.77,118.45
243,Montenegro,2014,,552.005,,,11.03,0.0,2.9,109.125,15.09,17.995,517.76,103.9
244,Montenegro,2015,,544.97,,,9.865,0.0,2.9,90.53999999999999,12.19,15.09,479.97,106.78999999999999
245,Montenegro,2016,11.605,491.565,46.43,28.44,13.93,1.16,1.16,74.285,9.285,12.77,293.65999999999997,119.555
246,Montenegro,2017,2.32,524.045,44.105000000000004,,6.385,0.0,5.805,68.48,4.0600000000000005,13.35,291.90999999999997,134.06
247,Montenegro,2018,2.32,395.21,140.44,3.48,7.545,0.0,4.645,71.38,7.545,13.35,255.35,142.765
248,Montenegro,2019,0.58,362.145,99.82,26.115000000000002,12.19,1.16,2.32,55.135,16.25,21.475,239.69,172.37
249,Montenegro,2020,3.48,254.79500000000002,89.38,33.665,9.285,,5.225,27.86,8.125,15.67,185.73,163.095
250,Montenegro,2021,4.645,267.055,103.34,23.22,8.129999999999999,1.16,4.645,33.67,13.935,20.9,195.645,201.45
251,Montenegro,2022,6.97,268.4,195.2,22.655,4.0649999999999995,0.58,9.295,27.305,11.620000000000001,23.240000000000002,197.52,181.835
252,Montenegro,2023,5.23,257.415,60.43,,2.9050000000000002,0.58,8.715,15.69,14.525,23.245,192.92000000000002,221.39
253,Netherlands,2014,,51989.6,,,72.43,208.735,563.625,5256.045,912.89,2157.745,183770.52,7641.64
254,Netherlands,2015,,48580.755,,,60.355,218.785,636.24,4893.785,860.06,2092.305,168551.435,6953.4
255,Netherlands,2016,,42551.645,3472.835,31685.02,54.32,211.235,772.02,4516.445,1114.025,2381.445,152922.88,6261.665
256,Netherlands,2017,,37566.145,3389.73,,79.46,201.17,885.15,4010.845,1106.44,2416.565,130305.91,5894.305
257,Netherlands,2018,,31733.63,3334.295,,59.845,213.735,975.645,3915.155,1194.41,2592.5,117673.44,6276.32
258,Netherlands,2019,,29645.55,3321.61,,62.86,256.475,1033.445,4319.85,1128.995,2162.44,117606.595,7002.785
259,Netherlands,2020,,25065.67,2961.92,,60.85,261.495,1038.43,3673.48,983.115,2021.545,102958.075,6436.765
260,Netherlands,2021,,18706.435,2675.22,,63.36,231.315,1209.38,2790.88,1138.98,2348.36,92496.28,5833.19
261,Netherlands,2022,,18823.905,2743.005,,71.905,223.765,1460.755,3001.97,1503.5,2964.255,117142.17,5910.915
262,Netherlands,2023,,17671.16,2727.73,,62.85,226.265,1214.28,3016.845,1282.16,2498.95,123419.055,6828.12
263,North Macedonia,2014,,6871.265,,,13.105,4.195,23.59,159.88,,70.77,2612.11,11.53
264,North Macedonia,2015,,,,,11.005,5.765,21.49,145.72,,62.9,,8.91
265,North Macedonia,2016,,,,,8.91,5.24,18.87,129.985,,59.75,,16.25
266,North Macedonia,2017,,,,,13.105,3.67,18.345,218.555,,53.46,,
267,North Macedonia,2019,3.67,,3.67,,11.53,7.86,18.345,200.72,,45.595,,469.57
268,North Macedonia,2020,3.145,,3.145,,5.24,1.05,19.915,138.36,,59.22,,384.15
269,North Macedonia,2021,3.67,,3.67,,6.815,4.195,13.105,144.145,,48.75,,367.44
270,North Macedonia,2022,8.435,,8.435,,9.49,3.69,9.49,169.765,,46.92,,394.885
271,North Macedonia,2023,11.6,,11.6,,12.13,6.855,17.4,155.56,,68.55,,429.77
272,Northern Ireland (UK) (NUTS 2021),2014,,4686.405,,,8.965,23.195,362.195,477.655,608.93,1361.265,14145.675,2609.71
